id,URL,Restaurant,Longitude,Latitude,Rating,Category,PriceLevel,City
ChIJEwybbp0Cai4R0OaY6cLEw58,https://maps.google.com/?cid=11512261413910931152,Saung Rawa Lele,106.690115,-6.1388513,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJCaukbXT4aS4RMsByp_appE0,https://maps.google.com/?cid=5594783513937362994,McDonald's Citra Garden 6,106.71397,-6.12772,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJhQvpd234aS4RPRMUp50gvSc,https://maps.google.com/?cid=2863480799562568509,KFC - Citra Garden 2,106.7073208,-6.1426607,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJL1B_LHn4aS4RRpNFUHOveUM,https://maps.google.com/?cid=4862110182525997894,McDonalds Duta Garden,106.6821159,-6.1430209,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJZx0sT3X5aS4RbVxRaqCdC54,https://maps.google.com/?cid=11388369395040476269,MIMUME CITRA,106.7027291,-6.1464838,4.6,restaurant,INEXPENSIVE,Jakarta Barat
ChIJH-_gFMX5aS4RRo1tR4VlA-g,https://maps.google.com/?cid=16718317864832830790,McDonald's Citra Garden 7,106.7007458,-6.1469098,4.6,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJQXPkVGgDai4RUSxiD4rYCvI,https://maps.google.com/?cid=17440990594420845649,Aromasop Seafood Taman Palem,106.7233717,-6.1387363,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJfTbH16L5aS4Rh_mmNnkRfF0,https://maps.google.com/?cid=6736278354945046919,MAISON TATEI - Green Lake City,106.7096459,-6.1802341,4.6,japanese_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ73cl8lYdai4RTCn-G7KeTFQ,https://maps.google.com/?cid=6074404485226965324,DAPUR ROSO City Resort,106.7317003,-6.1358162,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJA7A_ltkCai4RYUjUM94eIx0,https://maps.google.com/?cid=2099555790985906273,Lembur Kuring Restaurant,106.6862083,-6.1121549,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJEwybbp0Cai4R0OaY6cLEw58,https://maps.google.com/?cid=11512261413910931152,Saung Rawa Lele,106.690115,-6.1388513,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJCaukbXT4aS4RMsByp_appE0,https://maps.google.com/?cid=5594783513937362994,McDonald's Citra Garden 6,106.71397,-6.12772,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJhQvpd234aS4RPRMUp50gvSc,https://maps.google.com/?cid=2863480799562568509,KFC - Citra Garden 2,106.7073208,-6.1426607,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJL1B_LHn4aS4RRpNFUHOveUM,https://maps.google.com/?cid=4862110182525997894,McDonalds Duta Garden,106.6821159,-6.1430209,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJZx0sT3X5aS4RbVxRaqCdC54,https://maps.google.com/?cid=11388369395040476269,MIMUME CITRA,106.7027291,-6.1464838,4.6,restaurant,INEXPENSIVE,Jakarta Barat
ChIJPfohxV0dai4RMSqJ7GLRyjA,https://maps.google.com/?cid=3515852681921505841,ä¸°ç››æ¸¯å¼é¥­é¢å®¶ Fong Sheng Hongkong Bakmie.Steam Nasi PIK,106.7401196,-6.1039976,4.6,restaurant,MODERATE,Jakarta Barat
ChIJH-_gFMX5aS4RRo1tR4VlA-g,https://maps.google.com/?cid=16718317864832830790,McDonald's Citra Garden 7,106.7007458,-6.1469098,4.6,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJbVV6yNodai4R3IUqDsoMZp0,https://maps.google.com/?cid=11341766773539767772,US Pizza,106.7423791,-6.112178,4.8,pizza_restaurant,MODERATE,Jakarta Barat
ChIJq9wWUDodai4R_FZCFfQxX6I,https://maps.google.com/?cid=11700125281330288380,Sushi Hiro,106.7375465,-6.1108428,4.7,japanese_restaurant,EXPENSIVE,Jakarta Barat
ChIJaewu3mAdai4RBN25pwl3Sn8,https://maps.google.com/?cid=9172274474445823236,RM Pagi Sore PIK (Resto & PS Coffee),106.7434524,-6.0886386,4.6,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJh9BOIAwdai4RlGiE8dQe-Cs,https://maps.google.com/?cid=3168316237789030548,Sentosa Seafood PIK 2,106.7437323,-6.0887768,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJQ5MMYVodai4R35a-yfiBtiY,https://maps.google.com/?cid=2789559924739184351,Bipang Ambawang Cabang PIK,106.7490059,-6.0925945,4.5,indonesian_restaurant,EXPENSIVE,Jakarta Barat
ChIJ73cl8lYdai4RTCn-G7KeTFQ,https://maps.google.com/?cid=6074404485226965324,DAPUR ROSO City Resort,106.7317003,-6.1358162,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJA7A_ltkCai4RYUjUM94eIx0,https://maps.google.com/?cid=2099555790985906273,Lembur Kuring Restaurant,106.6862083,-6.1121549,4.5,seafood_restaurant,MODERATE,Jakarta Barat
